Transaction_Amount,Transaction_Time,Account_Age,Daily_Transaction_Count,Transaction_Latency,Average_Monthly_Spend,Credit_Score,Remaining_Balance,Account_Limit_Utilization,Merchant_Transaction_Volume,Fraud
124.83570765056163,27756.446982962043,68.67485896304399,2,73.56220157308667,2107.6273833524165,694.2157598593212,3140.902525536612,91.00071392434175,53278.227688953804,0
93.08678494144077,8900.858399806606,155.4444904202406,3,1547.7417241744636,1782.1204637424664,728.628419913143,4116.838741745179,18.12854827908048,26981.999020076444,0
132.38442690503462,6204.171926488538,,3,49.68416230505899,1472.031278103808,618.9147462632611,3209.7681141553658,24.546523523440477,60208.202832770214,0
176.15149282040127,8145.444490468075,553.9660765696211,4,147.8470707543336,2026.4827663153617,679.6763412699083,7657.835112322116,56.74744717780727,57835.48183968196,0
88.2923312638332,50359.9128069925,121.21976136019822,2,346.1231002089861,2345.5809253048483,764.1043471330908,5334.894793171344,55.80090952341572,52802.400388135815,0
88.29315215254097,4463.611991624709,302.9425133717129,3,1032.2588943852368,2302.687435965588,704.7674514720221,7417.257735476498,7.8579455515567,69676.44356935394,0
178.96064077536957,29110.48199689292,189.0926108983575,5,553.7263607322626,1563.941679055835,670.5045533173253,5268.894617285072,91.40051234097093,35456.12121657449,0
138.37173645764545,65076.45424538942,245.74583996742112,4,508.03554100708885,2596.476291129999,679.2903780840588,6931.199988937527,77.39489548499508,37194.909705152066,0
76.5262807032524,25431.68158692867,160.14836960700475,2,706.5053319285277,2284.6835058339448,741.3227797277813,5438.534820850907,79.68526109020276,91956.1009989462,0
127.12800217929824,65949.81786836321,119.56500546056192,4,972.173562581658,2817.5668674601075,753.5298957671068,4832.009624266873,69.16418598343044,33136.36413067738,0
76.82911535937689,64408.35210108958,409.9684595014739,2,158.78765680909842,3037.7587186442424,726.3225257063409,7341.336645827356,16.65545400479348,50217.077911435415,0
76.71351232148716,21239.46425950989,550.2453433921331,3,11.449378458816646,2306.1411123266107,734.4517048106176,4705.548660891488,36.40468543979253,72761.82574037857,0
112.0981135783017,62970.23636001321,755.9635940056666,2,81.62736479290231,2599.2957869938145,642.4617165107757,5439.9138373242,32.63461264064544,71133.26249389896,0
4.335987767110112,64607.9015467095,61.6153659406574,2,108.3119621359313,2260.614427770546,686.4701043097537,7389.671886795115,98.83522899731105,72361.57826684168,0
13.754108374348363,34340.01917763112,631.7382145002442,4,24.507595768944398,1228.185159440241,732.4692083081648,1219.7925001921462,11.31858154988391,52546.952557150464,0
71.88562353795136,18180.329795267175,107.3478675232066,0,825.849278820639,827.5931694724627,718.4072326371041,5017.098066467661,55.48897933932295,46915.175364101306,0
49.35844398327881,45037.79771545749,203.47173293625485,1,1297.3010567753036,1723.8664259517382,703.2355538016133,8978.070698918247,77.19306042997204,36983.07498003691,0
115.7123666297637,79608.75160321697,845.7514195705493,6,744.0706572729072,2202.6764447494024,639.8138549400894,8244.458691051084,40.697990726756316,47948.807726164116,0
54.59879622393945,55262.88568213015,221.2115623684784,3,125.41365004197539,1253.7081185187849,711.6643353128734,6434.848767173533,52.68863568444462,67238.19258465157,0
29.384814933235432,14940.503794995368,80.11008649149504,4,559.5203713480809,1995.758711248677,597.4286356801434,3777.1700944488275,16.592994201120227,52936.841595383674,0
173.28243844607772,58990.198296976116,63.58191834265282,6,441.13657807988676,2407.01836851058,695.9861990518489,7395.84445048005,20.793246690129653,40461.30448244303,0
88.71118497567322,36910.34155715051,,4,1028.7571933137642,1212.3228958595987,687.1572848084327,3467.491357742055,69.53282518654434,56511.27315556658,0
103.37641023439619,51108.08809150423,524.9845789241505,3,1711.4857621201363,2494.5777744894012,640.2158666940808,6220.957341333195,72.40256220491088,30656.109239282512,0
28.762590689327155,63423.13262599652,2146.1907600541067,2,815.0554336543804,2131.740714719694,697.2990621820842,6893.790977884478,55.81732266552745,53773.754715573996,0
